project_id,title,description,country,budget,hourly_low,hourly_high,is_hourly,project_text
277,need flutter expert for real estate app,"further details will be provided in chat. require english fluency.hourly range: $25.00posted on: february 20, 2024 03:23 utccategory: mobile app developmentskills:android,     ios,     flutter,     smartphone,     mobile app development,     android app development,     ios development,     in-app purchases,     chat & messaging software,     cameraskills:        android,                     ios,                     flutter,                     smartphone,                     mobile app development,                     android app development,                     ios development,                     in-app purchases,                     chat & messaging software,                     cameracountry: united statesclick to apply",United States,0,25,0,TRUE,"need flutter expert for real estate app further details will be provided in chat. require english fluency.hourly range: $25.00posted on: february 20, 2024 03:23 utccategory: mobile app developmentskills:android,     ios,     flutter,     smartphone,     mobile app development,     android app development,     ios development,     in-app purchases,     chat & messaging software,     cameraskills:        android,                     ios,                     flutter,                     smartphone,                     mobile app development,                     android app development,                     ios development,                     in-app purchases,                     chat & messaging software,                     cameracountry: united statesclick to apply"
278,"stock, options and bond data collection","we are seeking a talented professional to collect stock and bond data from the nse website. the successful candidate will have a strong attention to detail and excellent research skills. this is a data-intensive project that requires accuracy and efficiency in data collection. the responsibilities of the role include extracting data from the nse website and organizing it in a structured format. the ideal candidate will have experience in data collection, research, and data management. strong communication skills and the ability to work independently are also desired.budget: $200posted on: february 20, 2024 03:22 utccategory: data extractionskills:data mining,     data scraping,     apiskills:        data mining,                     data scraping,                     apicountry: indiaclick to apply",India,200,0,0,FALSE,"stock, options and bond data collection we are seeking a talented professional to collect stock and bond data from the nse website. the successful candidate will have a strong attention to detail and excellent research skills. this is a data-intensive project that requires accuracy and efficiency in data collection. the responsibilities of the role include extracting data from the nse website and organizing it in a structured format. the ideal candidate will have experience in data collection, research, and data management. strong communication skills and the ability to work independently are also desired.budget: $200posted on: february 20, 2024 03:22 utccategory: data extractionskills:data mining,     data scraping,     apiskills:        data mining,                     data scraping,                     apicountry: indiaclick to apply"
279,google drive organisation,"i'm looking for someone to help with my google drive.there's two elements to the task.1. i currently have two google accounts, and i want to combine them into one. if that is possible!2. i have documents all over the place and absolutely no filing system at all, so i would like someone to come and look at what i have, and organise me. that will include making recommendations of the best way to handle and categorise all of my documents.budget: $100posted on: february 20, 2024 03:22 utccategory: general virtual assistanceskills:google workspace,     google docsskills:        google workspace,                     google docscountry: australiaclick to apply",Australia,100,0,0,FALSE,"google drive organisation i'm looking for someone to help with my google drive.there's two elements to the task.1. i currently have two google accounts, and i want to combine them into one. if that is possible!2. i have documents all over the place and absolutely no filing system at all, so i would like someone to come and look at what i have, and organise me. that will include making recommendations of the best way to handle and categorise all of my documents.budget: $100posted on: february 20, 2024 03:22 utccategory: general virtual assistanceskills:google workspace,     google docsskills:        google workspace,                     google docscountry: australiaclick to apply"
280,urgent human resources specialist in real estate,"we are in need of a highly skilled and experienced human resources specialist to join our team in the real estate industry. the ideal candidate will be responsible for various hr functions and play a key role in talent acquisition, employee onboarding, performance management, and employee relations. this specialist should have a strong understanding of hr principles and best practices in a real estate setting. the successful candidate must possess excellent communication and problem-solving skills, as well as the ability to handle confidential information with utmost discretion.hourly range: $10.00-$30.00posted on: february 20, 2024 03:22 utccategory: hr administrationskills:data entry,     communications,     administrative support,     microsoft excel,     interpersonal skillsskills:        data entry,                     communications,                     administrative support,                     microsoft excel,                     interpersonal skillscountry: united kingdomclick to apply",United Kingdom,0,10,30,TRUE,"urgent human resources specialist in real estate we are in need of a highly skilled and experienced human resources specialist to join our team in the real estate industry. the ideal candidate will be responsible for various hr functions and play a key role in talent acquisition, employee onboarding, performance management, and employee relations. this specialist should have a strong understanding of hr principles and best practices in a real estate setting. the successful candidate must possess excellent communication and problem-solving skills, as well as the ability to handle confidential information with utmost discretion.hourly range: $10.00-$30.00posted on: february 20, 2024 03:22 utccategory: hr administrationskills:data entry,     communications,     administrative support,     microsoft excel,     interpersonal skillsskills:        data entry,                     communications,                     administrative support,                     microsoft excel,                     interpersonal skill..."
281,android in-app purchase integration,"i am looking for an android developer to assist with integrating in-app purchases into my existing android code. the goal is to enable users to make purchases within the app. the developer should have experience with android development, specifically in-app purchases. the project requires the following skills:- android development- in-app purchase integrationthe size of the project is small, as it involves integrating a specific feature into existing code. the duration of the project is estimated to be under 1 month. the desired expertise level is intermediate, as the developer should have prior experience with android development and in-app purchases.budget: $30posted on: february 20, 2024 03:22 utccategory: mobile app developmentskills:android,     smartphone,     java,     android app development,     mobile app developmentskills:        android,                     smartphone,                     java,                     android app development,                     mobile app developmentcountry: kenya...",Kenya,30,0,0,FALSE,"android in-app purchase integration i am looking for an android developer to assist with integrating in-app purchases into my existing android code. the goal is to enable users to make purchases within the app. the developer should have experience with android development, specifically in-app purchases. the project requires the following skills:- android development- in-app purchase integrationthe size of the project is small, as it involves integrating a specific feature into existing code. the duration of the project is estimated to be under 1 month. the desired expertise level is intermediate, as the developer should have prior experience with android development and in-app purchases.budget: $30posted on: february 20, 2024 03:22 utccategory: mobile app developmentskills:android,     smartphone,     java,     android app development,     mobile app developmentskills:        android,                     smartphone,                     java,                     android app development,                     ..."
282,administrative assistant for social media and program setup,"we have aspirations to become a dynamic educational program dedicated to providing enriching learning experiences in african american studies. we aim to empower students with knowledge, critical thinking skills, and an appreciation for the contributions of black americans throughout history. as we expand our reach and impact, we're looking for an administrative assistant to support our growing needs in social media management and program setup.we’re seeking an organized, detail-oriented, and tech-savvy administrative assistant. this role is pivotal in supporting our online presence and ensuring our programs are set up efficiently and effectively. if you’re passionate about education, skilled in social media, and excel at administrative tasks, we’d love to hear from you!hourly range: $5.00-$6.00posted on: february 20, 2024 03:22 utccategory: general virtual assistanceskills:administrative support,     social media marketing,     social media management,     facebook,     social media content creationskills:...",United States,0,5,6,TRUE,"administrative assistant for social media and program setup we have aspirations to become a dynamic educational program dedicated to providing enriching learning experiences in african american studies. we aim to empower students with knowledge, critical thinking skills, and an appreciation for the contributions of black americans throughout history. as we expand our reach and impact, we're looking for an administrative assistant to support our growing needs in social media management and program setup.we’re seeking an organized, detail-oriented, and tech-savvy administrative assistant. this role is pivotal in supporting our online presence and ensuring our programs are set up efficiently and effectively. if you’re passionate about education, skilled in social media, and excel at administrative tasks, we’d love to hear from you!hourly range: $5.00-$6.00posted on: february 20, 2024 03:22 utccategory: general virtual assistanceskills:administrative support,     social media marketing,     social media manage..."
283,photoshop/image resize expert,"i need someone to re-size images from 1080 x 1080 to 1800 x 1080 but ensure that the image looks the exact same only landscape opposed to portraitbudget: $25posted on: february 20, 2024 03:22 utccategory: image editingskills:adobe photoshop,     photo editing,     photo retouching,     photo manipulation,     product photography,     image editing,     adobe illustrator,     graphic design,     image processingskills:        adobe photoshop,                     photo editing,                     photo retouching,                     photo manipulation,                     product photography,                     image editing,                     adobe illustrator,                     graphic design,                     image processingcountry: australiaclick to apply",Australia,25,0,0,FALSE,"photoshop/image resize expert i need someone to re-size images from 1080 x 1080 to 1800 x 1080 but ensure that the image looks the exact same only landscape opposed to portraitbudget: $25posted on: february 20, 2024 03:22 utccategory: image editingskills:adobe photoshop,     photo editing,     photo retouching,     photo manipulation,     product photography,     image editing,     adobe illustrator,     graphic design,     image processingskills:        adobe photoshop,                     photo editing,                     photo retouching,                     photo manipulation,                     product photography,                     image editing,                     adobe illustrator,                     graphic design,                     image processingcountry: australiaclick to apply"
284,executive assistant to ceo,"ceo of popular and fast-growing virtual coaching service for authors is seeking an executive assistant to start immediately!this position is crucial to me and requires a high level of trust, communication, responsiveness, and dependability.the person who fills this role will be my right-hand-man, the robin to my batman, my girl friday...basically, you will keep me in check, on schedule, and from going completely insane.daily recurring duties include (but are not limited to):*email management and communication*managing and coordinating with clients*managing our crm database (honeybook)*managing and reminding me of my scheduleadditional non-recurring/special project tasks will include (but are not limited to):*sending pitch emails for my media appearances*finding and sending invites to podcast guest hosts*helping with new offer, service, or product launches*and moreonboarding is easy and fun, as i have pre-recorded loom videos for all recurring daily tasks to help you ease into the role!i cannot emphasize ho...",United States,0,20,35,TRUE,"executive assistant to ceo ceo of popular and fast-growing virtual coaching service for authors is seeking an executive assistant to start immediately!this position is crucial to me and requires a high level of trust, communication, responsiveness, and dependability.the person who fills this role will be my right-hand-man, the robin to my batman, my girl friday...basically, you will keep me in check, on schedule, and from going completely insane.daily recurring duties include (but are not limited to):*email management and communication*managing and coordinating with clients*managing our crm database (honeybook)*managing and reminding me of my scheduleadditional non-recurring/special project tasks will include (but are not limited to):*sending pitch emails for my media appearances*finding and sending invites to podcast guest hosts*helping with new offer, service, or product launches*and moreonboarding is easy and fun, as i have pre-recorded loom videos for all recurring daily tasks to help you ease into the..."
285,metatrader 4 / 5 ea coding expert,"seeking a skilled metatrader 4/5 coding expert to develop high-quality trading robots to join our team.we offer a service that builds expert advisors (trading robots) for retail clients.the ideal candidate should have a strong knowledge of metatrader platform and extensive experience in coding ea's. they should be proficient in programming languages of mql4 &amp; mql5, and have a solid understanding of financial markets and trading strategies.the responsibilities of this role include coding expert advisors as per client requests/strategies, creating and modifying indicators and scripts, and optimising trading algorithms to maximise profitability. the selected candidate will collaborate with our team to implement the specific requirements of clients on a designated timeline.relevant skills:- metatrader 4/5- mql4/mql5- trading algorithm development- financial market knowledgewe are offering a fixed monthly renumeration package (tba) per client under management. clients can make unlimited requests, but only o...",Australia,0,0,0,null,"metatrader 4 / 5 ea coding expert seeking a skilled metatrader 4/5 coding expert to develop high-quality trading robots to join our team.we offer a service that builds expert advisors (trading robots) for retail clients.the ideal candidate should have a strong knowledge of metatrader platform and extensive experience in coding ea's. they should be proficient in programming languages of mql4 &amp; mql5, and have a solid understanding of financial markets and trading strategies.the responsibilities of this role include coding expert advisors as per client requests/strategies, creating and modifying indicators and scripts, and optimising trading algorithms to maximise profitability. the selected candidate will collaborate with our team to implement the specific requirements of clients on a designated timeline.relevant skills:- metatrader 4/5- mql4/mql5- trading algorithm development- financial market knowledgewe are offering a fixed monthly renumeration package (tba) per client under management. clients can m..."
286,excel resource planning template automation,"we are looking for a skilled professional who can assist in building an automated resource planning template using excel. this template will streamline our resource allocation process and improve efficiency. the ideal candidate should have a strong understanding of excel formulas and functions, as well as experience in data analysis and visualization. they should be detail-oriented and have the ability to create user-friendly templates with interactive features. the successful candidate will have excellent problem-solving skills and the ability to create robust and flexible templates.relevant skills:- mid to advanced excel skills- knowledge of formulas and functions- data analysis and visualization- problem-solving- template creationbudget: $100posted on: february 20, 2024 03:21 utccategory: scripting & automationskills:microsoft excel,     visual basic for applications,     analytics dashboard,     resource allocation,     data visualization,     automation,     macro programmingskills:        microsoft e...",Philippines,100,0,0,FALSE,"excel resource planning template automation we are looking for a skilled professional who can assist in building an automated resource planning template using excel. this template will streamline our resource allocation process and improve efficiency. the ideal candidate should have a strong understanding of excel formulas and functions, as well as experience in data analysis and visualization. they should be detail-oriented and have the ability to create user-friendly templates with interactive features. the successful candidate will have excellent problem-solving skills and the ability to create robust and flexible templates.relevant skills:- mid to advanced excel skills- knowledge of formulas and functions- data analysis and visualization- problem-solving- template creationbudget: $100posted on: february 20, 2024 03:21 utccategory: scripting & automationskills:microsoft excel,     visual basic for applications,     analytics dashboard,     resource allocation,     data visualization,     automation,    ..."
287,create social media posts - stills + reels,"social media posts: create modern and simple stills and videos for a skincare company20 social medis posts + 8 reels like the example below.we have 3d products all readyhttps://www.instagram.com/reel/c2ptmb-cc-l/?igsh=c3zsewmyymmxcho3https://www.instagram.com/p/c2xcskysatk/?igsh=mzrlodbinwflza==budget: $300posted on: february 20, 2024 03:20 utccategory: social media marketingskills:social media management,     graphic design,     social media imagery,     social media content creation,     adobe photoshop,     instagram,     social media marketingskills:        social media management,                     graphic design,                     social media imagery,                     social media content creation,                     adobe photoshop,                     instagram,                     social media marketingcountry: united statesclick to apply",United States,300,0,0,FALSE,"create social media posts - stills + reels social media posts: create modern and simple stills and videos for a skincare company20 social medis posts + 8 reels like the example below.we have 3d products all readyhttps://www.instagram.com/reel/c2ptmb-cc-l/?igsh=c3zsewmyymmxcho3https://www.instagram.com/p/c2xcskysatk/?igsh=mzrlodbinwflza==budget: $300posted on: february 20, 2024 03:20 utccategory: social media marketingskills:social media management,     graphic design,     social media imagery,     social media content creation,     adobe photoshop,     instagram,     social media marketingskills:        social media management,                     graphic design,                     social media imagery,                     social media content creation,                     adobe photoshop,                     instagram,                     social media marketingcountry: united statesclick to apply"
288,create crm with drag and drop field creations,"i want to create a crm where end users can create edit or remove fields by themselves and once they update the fields it should automatically update the crm screen where those fields are used.for instance i have a cakephp crm built on 2.x version but fields are created static methods , we can use that crm or create a crm from scratch .hourly range: $15.00-$30.00posted on: february 20, 2024 03:20 utccategory: full stack developmentskills:jquery,     javascript,     phpskills:        jquery,                     javascript,                     phpcountry: malaysiaclick to apply",Malaysia,0,15,30,TRUE,"create crm with drag and drop field creations i want to create a crm where end users can create edit or remove fields by themselves and once they update the fields it should automatically update the crm screen where those fields are used.for instance i have a cakephp crm built on 2.x version but fields are created static methods , we can use that crm or create a crm from scratch .hourly range: $15.00-$30.00posted on: february 20, 2024 03:20 utccategory: full stack developmentskills:jquery,     javascript,     phpskills:        jquery,                     javascript,                     phpcountry: malaysiaclick to apply"
289,accounting codes implementation,"we are looking for a skilled accounting professional to provide account codes to our established chart of accounts for a new business iaw gap.. the project requires providing the correct codes, account types, and if necessary, provide recommended changes.  the ideal candidate should have strong expertise and experience in account coding and be familiar with different accounting principles and standards. they should also have a strong attention to detail and excellent problem-solving skills. while this a small project it is extremely crucial to the establishment and  on-going financial business operations.skills:- accounting software development- knowledge of accounting principles and standards- attention to detail- collaborationhourly range: $25.00-$35.00posted on: february 20, 2024 03:20 utccategory: accountingskills:microsoft excel,     htmlskills:        microsoft excel,                     htmllocation requirement: only freelancers located in the united states may apply.country: united statesclick to a...",United States,0,25,35,TRUE,"accounting codes implementation we are looking for a skilled accounting professional to provide account codes to our established chart of accounts for a new business iaw gap.. the project requires providing the correct codes, account types, and if necessary, provide recommended changes.  the ideal candidate should have strong expertise and experience in account coding and be familiar with different accounting principles and standards. they should also have a strong attention to detail and excellent problem-solving skills. while this a small project it is extremely crucial to the establishment and  on-going financial business operations.skills:- accounting software development- knowledge of accounting principles and standards- attention to detail- collaborationhourly range: $25.00-$35.00posted on: february 20, 2024 03:20 utccategory: accountingskills:microsoft excel,     htmlskills:        microsoft excel,                     htmllocation requirement: only freelancers located in the united states may apply...."
290,company contact research,"i've started a spreadsheet with 340 companies listed. i need someone to research and add to the spreadsheet; website, location, contact (i'll give you specifics of what kind of contact), contact details, linkedin profile, 1 contact if possiblehourly range: $3.00-$5.00posted on: february 20, 2024 03:20 utccategory: lead generationskills:company research,     contact list,     market research,     lead generation,     data entry,     google searchskills:        company research,                     contact list,                     market research,                     lead generation,                     data entry,                     google searchcountry: bangladeshclick to apply",Bangladesh,0,3,5,TRUE,"company contact research i've started a spreadsheet with 340 companies listed. i need someone to research and add to the spreadsheet; website, location, contact (i'll give you specifics of what kind of contact), contact details, linkedin profile, 1 contact if possiblehourly range: $3.00-$5.00posted on: february 20, 2024 03:20 utccategory: lead generationskills:company research,     contact list,     market research,     lead generation,     data entry,     google searchskills:        company research,                     contact list,                     market research,                     lead generation,                     data entry,                     google searchcountry: bangladeshclick to apply"
291,native french translator needed (english to french),"we are looking for translators on the above languages for the translation of a website. the website is about a company working in green technology, so some knowledge in this field is a plus.the english text is under proofreading now, the wordcount is 13493 words and we will send you english pdf documents as a referencehourly range: $10.00-$25.00posted on: february 20, 2024 03:20 utccategory: general translation servicesskills:french,     english to french translation,     french to english translation,     translation,     englishskills:        french,                     english to french translation,                     french to english translation,                     translation,                     englishcountry: pakistanclick to apply",Pakistan,0,10,25,TRUE,"native french translator needed (english to french) we are looking for translators on the above languages for the translation of a website. the website is about a company working in green technology, so some knowledge in this field is a plus.the english text is under proofreading now, the wordcount is 13493 words and we will send you english pdf documents as a referencehourly range: $10.00-$25.00posted on: february 20, 2024 03:20 utccategory: general translation servicesskills:french,     english to french translation,     french to english translation,     translation,     englishskills:        french,                     english to french translation,                     french to english translation,                     translation,                     englishcountry: pakistanclick to apply"
292,pricing analyst and data analytics,"primoair: expert trailblazing data analystdo you dream of using data to revolutionize the travel experience? are you a fintech and subscription analytics whiz with a passion for innovation? do you thrive in a remote, independent contractor environment and have a knack for problem-solving? if so, primoair wants you!primoair is a tech startup reimagining air travel with a personalized, app-based airline powered by ai, ml, and data-driven decision-making. we're on a mission to inspire, inform, and delight our members with exclusive deals, community events, and exceptional in-flight experiences.as our expert trailblazing data analyst, you'll play a crucial role in shaping the future of primoair. you'll leverage your expertise in fintech and subscription analytics to:uncover hidden insights in our member data to personalize offers, optimize pricing, and predict future trends.develop and implement data-driven strategies to maximize member engagement, satisfaction, and loyalty.proactively identify and solve probl...",Puerto Rico,0,75,125,TRUE,"pricing analyst and data analytics primoair: expert trailblazing data analystdo you dream of using data to revolutionize the travel experience? are you a fintech and subscription analytics whiz with a passion for innovation? do you thrive in a remote, independent contractor environment and have a knack for problem-solving? if so, primoair wants you!primoair is a tech startup reimagining air travel with a personalized, app-based airline powered by ai, ml, and data-driven decision-making. we're on a mission to inspire, inform, and delight our members with exclusive deals, community events, and exceptional in-flight experiences.as our expert trailblazing data analyst, you'll play a crucial role in shaping the future of primoair. you'll leverage your expertise in fintech and subscription analytics to:uncover hidden insights in our member data to personalize offers, optimize pricing, and predict future trends.develop and implement data-driven strategies to maximize member engagement, satisfaction, and loyalty.p..."
293,"gold bars/gold bullion/gold ira; white-hat, seo-related blogs","gold ira/gold bullion/gold bars related content:- white hat seo techniques- 50 blogs- 1000-1500 word blogs- human written content- duration of work 1-2 months maximum- avoid plagirism and ai written contentill provide you with the targeted keywords and the theme of the blogs once i accept the proposal.thanksbudget: $210posted on: february 18, 2024 00:37 utccategory: seoskills:on-page seo,     seo strategy,     seo performance,     search engine optimization,     seo writing,     seo keyword research,     blog writing,     blog content,     article writingskills:        on-page seo,                     seo strategy,                     seo performance,                     search engine optimization,                     seo writing,                     seo keyword research,                     blog writing,                     blog content,                     article writingcountry: canadaclick to apply",Canada,210,0,0,FALSE,"gold bars/gold bullion/gold ira; white-hat, seo-related blogs gold ira/gold bullion/gold bars related content:- white hat seo techniques- 50 blogs- 1000-1500 word blogs- human written content- duration of work 1-2 months maximum- avoid plagirism and ai written contentill provide you with the targeted keywords and the theme of the blogs once i accept the proposal.thanksbudget: $210posted on: february 18, 2024 00:37 utccategory: seoskills:on-page seo,     seo strategy,     seo performance,     search engine optimization,     seo writing,     seo keyword research,     blog writing,     blog content,     article writingskills:        on-page seo,                     seo strategy,                     seo performance,                     search engine optimization,                     seo writing,                     seo keyword research,                     blog writing,                     blog content,                     article writingcountry: canadaclick to apply"
294,online speaker and host for auctioning,"looking for someone who has excellent english. no imperfections in speaking dialect. your country language should be english as primary.your job will be to periodically host online auctions shows. you will present the products in buying format. at time you will need a green screen. for your background. everything will be scripted . and you must follow. please explain your experience and qualificationshourly range: $3.00posted on: february 18, 2024 00:37 utccategory: general virtual assistanceskills:presentations,     auction software,     hosting online meetings,     us english dialect,     green screen,     video editing & productionskills:        presentations,                     auction software,                     hosting online meetings,                     us english dialect,                     green screen,                     video editing & productioncountry: united statesclick to apply",United States,0,3,0,TRUE,"online speaker and host for auctioning looking for someone who has excellent english. no imperfections in speaking dialect. your country language should be english as primary.your job will be to periodically host online auctions shows. you will present the products in buying format. at time you will need a green screen. for your background. everything will be scripted . and you must follow. please explain your experience and qualificationshourly range: $3.00posted on: february 18, 2024 00:37 utccategory: general virtual assistanceskills:presentations,     auction software,     hosting online meetings,     us english dialect,     green screen,     video editing & productionskills:        presentations,                     auction software,                     hosting online meetings,                     us english dialect,                     green screen,                     video editing & productioncountry: united statesclick to apply"
295,listing not showing on shopify collection,"hello. i have a product in a collection on shopify but it is not showing up on the collection. i need help to troubleshot.hourly range: $20.00-$40.00posted on: february 18, 2024 00:37 utccategory: ecommerce website developmentskills:shopify,     shopify appsskills:        shopify,                     shopify appscountry: united statesclick to apply",United States,0,20,40,TRUE,"listing not showing on shopify collection hello. i have a product in a collection on shopify but it is not showing up on the collection. i need help to troubleshot.hourly range: $20.00-$40.00posted on: february 18, 2024 00:37 utccategory: ecommerce website developmentskills:shopify,     shopify appsskills:        shopify,                     shopify appscountry: united statesclick to apply"
296,data entry expert,"we are seeking a skilled data entry expert to handle a variety of data entry tasks. the ideal candidate will have a keen eye for detail, excellent organizational skills, and a high level of accuracy. this role will primarily involve inputting data into spreadsheets, databases, and other data management systems. the successful candidate will be responsible for ensuring data integrity and consistency, as well as performing data quality checks. additionally, strong problem-solving skills and the ability to work independently are a must. relevant skills for this position include:hourly range: $18.00-$37.00posted on: february 18, 2024 00:37 utccategory: data entryskills:data entry,     microsoft excel,     accuracy verification,     google docs,     microsoft wordskills:        data entry,                     microsoft excel,                     accuracy verification,                     google docs,                     microsoft wordcountry: united kingdomclick to apply",United Kingdom,0,18,37,TRUE,"data entry expert we are seeking a skilled data entry expert to handle a variety of data entry tasks. the ideal candidate will have a keen eye for detail, excellent organizational skills, and a high level of accuracy. this role will primarily involve inputting data into spreadsheets, databases, and other data management systems. the successful candidate will be responsible for ensuring data integrity and consistency, as well as performing data quality checks. additionally, strong problem-solving skills and the ability to work independently are a must. relevant skills for this position include:hourly range: $18.00-$37.00posted on: february 18, 2024 00:37 utccategory: data entryskills:data entry,     microsoft excel,     accuracy verification,     google docs,     microsoft wordskills:        data entry,                     microsoft excel,                     accuracy verification,                     google docs,                     microsoft wordcountry: united kingdomclick to apply"
297,gerente de contabilidad y gerente de cobranzas altamente motivado para unirse a nuestro equipo,"actualmente estamos buscando un excelente gerente de contabilidad y gerente de cobranzas altamente motivado para unirse a nuestro equipo.si estás de acuerdo con:- trabajar en un entorno de ritmo rápido- ser capaz de manejar metas y esforzarse por alcanzarlas.- trabajar con un equipo joven y rápido.- disponibilidad de 20-40 horas semanalessigue leyendo!nuestra empresa, ayuda a los contratistas de pintura en los estados unidos a escalar sus negocios utilizando nuestro innovador sistema.el candidato ideal tendrá experiencia en:gerente de contabilidad:- crm- contabilidad- seguimiento de facturas- verificación de pagos- realización de reembolsos- edición de la frecuencia de pago de los clientesgerente de cobranzas:- crm- buena organización con clientes atrasados- enviar mensajes de texto y llamar a clientes atrasados para cobrar dinero- un plus si tiene experiencia previa en ventas!!si tienes las habilidades anteriores, sigue leyendo.te proporcionaremos toda la capacitación y el apoyo necesarios para ayudarte a...",United States,0,5,7,TRUE,"gerente de contabilidad y gerente de cobranzas altamente motivado para unirse a nuestro equipo actualmente estamos buscando un excelente gerente de contabilidad y gerente de cobranzas altamente motivado para unirse a nuestro equipo.si estás de acuerdo con:- trabajar en un entorno de ritmo rápido- ser capaz de manejar metas y esforzarse por alcanzarlas.- trabajar con un equipo joven y rápido.- disponibilidad de 20-40 horas semanalessigue leyendo!nuestra empresa, ayuda a los contratistas de pintura en los estados unidos a escalar sus negocios utilizando nuestro innovador sistema.el candidato ideal tendrá experiencia en:gerente de contabilidad:- crm- contabilidad- seguimiento de facturas- verificación de pagos- realización de reembolsos- edición de la frecuencia de pago de los clientesgerente de cobranzas:- crm- buena organización con clientes atrasados- enviar mensajes de texto y llamar a clientes atrasados para cobrar dinero- un plus si tiene experiencia previa en ventas!!si tienes las habilidades anteriore..."
298,experienced ui/ux designer needed for mobile-responsive website design and development,"hello,we are looking for a highly skilled and experienced ui/ux designer to create a high-quality, conversion-optimized theme/template for our website. the ideal candidate should have a strong portfolio showcasing their ability to design and develop websites that are not only visually appealing but also highly functional and mobile-responsive.key responsibilities:design and develop a website theme/template that is aesthetically pleasing, user-friendly, and optimized for conversions.ensure the design is mobile-responsive and performs seamlessly across different devices and browsers.collaborate with our team to understand our brand, target audience, and specific requirements for the website.implement design best practices and stay updated with the latest trends in web design and user experience.requirements:proven experience in ui/ux design, particularly in creating websites that are optimized for conversions.a strong portfolio showcasing relevant work.proficiency in design tools such as adobe creative suite...",Nigeria,0,5,0,TRUE,"experienced ui/ux designer needed for mobile-responsive website design and development hello,we are looking for a highly skilled and experienced ui/ux designer to create a high-quality, conversion-optimized theme/template for our website. the ideal candidate should have a strong portfolio showcasing their ability to design and develop websites that are not only visually appealing but also highly functional and mobile-responsive.key responsibilities:design and develop a website theme/template that is aesthetically pleasing, user-friendly, and optimized for conversions.ensure the design is mobile-responsive and performs seamlessly across different devices and browsers.collaborate with our team to understand our brand, target audience, and specific requirements for the website.implement design best practices and stay updated with the latest trends in web design and user experience.requirements:proven experience in ui/ux design, particularly in creating websites that are optimized for conversions.a strong port..."
299,wordpress developer,"we are redesinging our home page for reitcircles.com. the figma designs are present and we need to just implement the website (we have a self hosted wordpress instance).anyone who has recent experience in developing in wordpress pls contact.hourly range: $15.00-$20.00posted on: february 18, 2024 00:36 utccategory: front-end developmentskills:wordpress,     web development,     css,     javascript,     html5,     wordpress developmentskills:        wordpress,                     web development,                     css,                     javascript,                     html5,                     wordpress developmentcountry: singaporeclick to apply",Singapore,0,15,20,TRUE,"wordpress developer we are redesinging our home page for reitcircles.com. the figma designs are present and we need to just implement the website (we have a self hosted wordpress instance).anyone who has recent experience in developing in wordpress pls contact.hourly range: $15.00-$20.00posted on: february 18, 2024 00:36 utccategory: front-end developmentskills:wordpress,     web development,     css,     javascript,     html5,     wordpress developmentskills:        wordpress,                     web development,                     css,                     javascript,                     html5,                     wordpress developmentcountry: singaporeclick to apply"
300,looking for content creators/influencers,"hi, my partner and i are interested in working with creators/influencers with a following of at least 3000-10,000+.we prefer to work with creators/influencers that are educating their audience on a topic or skill. for example fitness, yoga, mental health, dating, ecom, personal brand, finance, saas or earning income online. we are not limited to those niches, but these are the niches that have experience in.we guarantee to get you to $10k mrr minimum in the next 14-40 days.we compensate you for your time to see if you a good fit for this project before moving forward.hourly range: $6.00-$15.00posted on: february 18, 2024 00:36 utccategory: social media marketingskills:tiktok,     youtube,     instagram,     influencer marketingskills:        tiktok,                     youtube,                     instagram,                     influencer marketingcountry: united statesclick to apply",United States,0,6,15,TRUE,"looking for content creators/influencers hi, my partner and i are interested in working with creators/influencers with a following of at least 3000-10,000+.we prefer to work with creators/influencers that are educating their audience on a topic or skill. for example fitness, yoga, mental health, dating, ecom, personal brand, finance, saas or earning income online. we are not limited to those niches, but these are the niches that have experience in.we guarantee to get you to $10k mrr minimum in the next 14-40 days.we compensate you for your time to see if you a good fit for this project before moving forward.hourly range: $6.00-$15.00posted on: february 18, 2024 00:36 utccategory: social media marketingskills:tiktok,     youtube,     instagram,     influencer marketingskills:        tiktok,                     youtube,                     instagram,                     influencer marketingcountry: united statesclick to apply"
301,electronics design and sourcing engineer in china,"we are looking for an electronics engineer to work on a production quality embedded circuit using stm32 mcu. the mcu must interface with devices via:-can-rs485-spi-gpioplease send your portfolio of past projects.hourly range: $12.00-$20.00posted on: february 18, 2024 00:36 utccategory: electronic engineeringskills:sourcing,     electronics,     circuit designskills:        sourcing,                     electronics,                     circuit designcountry: united statesclick to apply",United States,0,12,20,TRUE,"electronics design and sourcing engineer in china we are looking for an electronics engineer to work on a production quality embedded circuit using stm32 mcu. the mcu must interface with devices via:-can-rs485-spi-gpioplease send your portfolio of past projects.hourly range: $12.00-$20.00posted on: february 18, 2024 00:36 utccategory: electronic engineeringskills:sourcing,     electronics,     circuit designskills:        sourcing,                     electronics,                     circuit designcountry: united statesclick to apply"
